"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
40 46 16.5 68 0.875 25 0 1700 58.8 41.2 1 33
40 35 18 85 0.625 30 0 2000 62.5 37.5 2.5 30
35 38 12 62 0.75 46 4.7 1400 58.8 36.5 2 28
35 38 16 70 0.75 50 0 1400 62.5 37.5 2.8 28
50 46 14.6 60 0.625 25 10.5 1750 52.6 36.8 2.4 28
40 47 24.5 78 0.875 30 8.8 2100 54.9 36.3 2.3 40
40 39 15 77 0.75 20 9.4 2000 52.1 38.5 2.5 40
40 39 15 79 0.75 20 11.8 2000 49 39.2 2.5 40
40 40 18.5 85 0.5625 30 0 1900 62.5 37.5 1.8 40
35 39 16.2 84 1 30 0 2100 62.5 37.5 2 30
50 43 14.02 68 0.75 56 7.4 1800 53.2 39.4 3 40
67.5 45 15.5 80 0.5 34 16.3 1683 43.5 40.2 2.5 40
55 37 16 75 0.625 20 5.6 1850 55.6 38.9 0.8 33
52.5 43 15.1 76 0.5 31 6.6 1650 54.9 38.5 2.5 40
40 44 16.1 78 0.9375 30 5.6 1800 55.6 38.9 2 35
40 43 16 80 0.5625 30 5.6 1900 55.6 38.9 2.2 30
42.5 46 14 77 0.625 42 15.8 1850 49.5 34.6 1.5 34
35 44 15.5 100 0.875 30 0 2200 53.2 46.8 0 30
42 44 15 80 1.25 20 16.7 1300 49 34.3 2.5 40
45 44 15.5 75 1.25 20 14.1 1300 50.5 35.4 2.5 40
50 43 16 70 0.8125 30 3.4 2400 56.8 39.8 2.5 30
47 43 16 80 0.5625 30 9.1 2400 50.5 40.4 2.5 30
35 48 16 76 0.8125 30 8.9 1900 49.5 41.6 2.5 30
35 48 16 86 0.5625 30 16.1 1900 44.6 39.3 2.5 30
47.5 68 14 78 0.75 22 0 1900 62.5 37.5 2.1 33
40 60 15 78 1 28 0 2380 60 40 2.5 30
40 55 15.5 92 0.75 22 9.6 1550 53.2 37.2 2.9 33
50 56 15.2 76 0.625 25 3.4 1760 56.8 39.8 2.5 34
45 57 14 76 0.75 20 3.4 1800 56.2 40.4 2 34
47 67 16 74 0.8125 38 0 1900 58.8 41.2 2.5 33
47 67 16 82 0.5625 30 1.5 1900 50.5 34.3 2.5 33
50 55 13.86 70 0.625 47 10.2 1635 51 38.8 3 40
30 63 13 94 1 29 0 1800 56.2 43.8 2.5 30
50 60 13.6 86 1.125 28 0 1500 64.1 35.9 2.5 33
55 53 14.2 72 0.625 25 22.7 1750 45.5 31.8 2.4 34
35 56 15.3 80 0.75 20 0 1900 76.9 23.1 2.5 33
55 56 15 84 0.625 25 16.7 1850 52.1 31.3 2 34
55 49 15 78 0.625 20 17.1 1900 47.6 35.2 2.5 34
50 50 15.7 90 0.75 50 0 1420 62.5 37.5 3 40
50 50 15.5 74 0.75 58 4.8 1420 59.5 35.7 3 40
35 56 16 82 0.5625 28 5.6 2100 56.2 38.2 1.7 30
35 56 15 80 0.8125 40 8.6 2100 53.8 37.6 1.7 30
40 50 16 68 0.8125 30 0 2400 58.8 41.2 2.5 33
40 50 16 70 0.5625 30 0 2400 58.8 41.2 1.5 33
40 54 15.8 76 0.5 38 5.6 1736 55.6 38.9 2.5 35
40 54 15.4 78 0.5 34 5.7 1736 56.8 36.9 2.5 35
55 45 15.5 79 0.625 20 16.7 1850 54.3 34.3 2.5 34
52 64 15.5 82 0.625 30 0 1800 71.4 28.6 2.5 34
40 56 16.5 79 0.5 28 0 2300 60.2 39.8 2.5 30
45 54 15.5 76 0.8125 30 5.6 2250 55.6 38.9 2.5 30
47.5 68 16 80 0.75 30 0 2250 58.8 41.2 1.5 35
47.5 68 16 80 0.75 30 0 2250 52.1 47.9 1.5 35
45 54 15.5 74 0.5625 40 10.5 2250 52.6 36.8 2.5 30
37.5 70 14.9 64 0.75 28 3.4 1500 57.5 39.1 2.5 40
37.5 70 15 65 0.75 25 5.4 1500 54.3 40.2 2.3 40
47.5 60 14.5 74 0.8125 20 8.6 1600 53.8 37.6 2 35
40 62 16 84 0.9375 32 0 2200 58.8 41.2 1.4 30
40 64 15.5 85 1 26 0 2400 58.8 41.2 2.5 30
40 64 15 82 0.75 31 0 2400 60 40 2.5 30
50 69 17 82 0.75 50 0 1700 62.5 37.5 3 40
50 60 16 76 0.5625 28 5.6 1600 55.6 38.9 1 35
35 68 15.1 90 0.875 30 6 1500 59.5 34.5 2.5 35
40 56 17 82 0.75 30 0 2550 52.6 47.4 2 33
30 56 17 72 0.75 30 0 2550 52.6 47.4 2 33
